Team,FIRST,SECOND,Top4,Top8,Top16,Top32,Top48,NotTop48
Argentina,31,69,162,453,1541,3493,2544,1707
Australia,71,132,287,613,1270,2452,2311,2864
Austria,239,197,381,704,1377,2793,2163,2146
Belarus,15,24,65,179,573,1650,2163,5331
Belgium,300,252,505,818,1567,2604,2045,1909
Bolivia,18,35,72,195,652,1717,2242,5069
Brazil,79,163,430,1315,894,1755,1818,3546
Bulgaria,17,36,75,185,525,1477,2255,5430
Canada,468,373,660,1033,1536,2455,1768,1707
Chile,146,157,307,622,1224,2127,2234,3183
China,138,172,371,719,1419,2784,2265,2132
Chinese Taipei,448,433,838,1531,1468,2256,1632,1394
Colombia,10,16,43,128,471,1501,2336,5495
Costa Rica,32,56,98,243,586,1560,2234,5191
Croatia,39,68,255,704,1244,2796,2330,2564
Cyprus,7,21,52,166,419,1469,2268,5598
Czech Republic,78,151,439,1234,1836,3564,1736,962
Denmark,496,425,702,1049,2086,2148,1502,1592
Dominican Republic,13,21,73,190,648,2241,2681,4133
Ecuador,39,68,193,476,772,2396,2573,3483
El Salvador,10,34,72,197,604,1697,2250,5136
England,29,57,190,573,1627,2470,2276,2778
Estonia,45,70,177,359,882,1837,2202,4428
Finland,118,115,300,661,1334,3097,2413,1962
France,593,409,667,1005,2256,2844,1366,860
Germany,560,421,690,1105,2024,2251,1554,1395
Greece,174,136,219,419,1487,2565,2244,2756
Guatemala,11,27,65,232,773,1981,2557,4354
Hong Kong,117,198,450,1039,2396,1850,1526,2424
Hungary,22,50,113,289,505,1443,2092,5486
Iceland,26,43,113,265,418,1349,1876,5910
Indonesia,98,110,250,472,1037,2606,2436,2991
Ireland,61,71,165,374,813,2116,2450,3950
Israel,8,21,58,182,590,2106,2785,4250
Italy,281,283,518,869,1966,2149,1797,2137
Japan,338,354,699,1275,1613,2634,1683,1404
Latvia,47,84,164,405,783,1695,2164,4658
Lithuania,7,37,101,300,520,2010,2571,4454
Luxembourg,105,128,237,492,1766,2699,2183,2390
Macedonia,8,28,77,230,291,1546,2332,5488
Malaysia,331,350,599,972,1576,2847,1792,1533
Malta,11,20,61,138,521,1702,2393,5154
Mexico,293,169,285,398,2681,1538,1454,3182
Netherlands,274,286,460,869,1329,2976,1932,1874
New Zealand,394,301,502,768,1221,2130,1948,2736
Northern Ireland,19,48,96,288,635,1943,2513,4458
Norway,9,23,70,169,584,1661,2311,5173
Panama,61,70,185,502,1031,2226,2321,3604
Paraguay,10,31,92,209,685,2023,2635,4315
Peru,22,57,138,334,972,1911,2223,4343
Philippines,86,127,291,627,1181,3135,2433,2120
Poland,317,277,445,718,706,2306,2217,3014
Portugal,624,441,713,1069,1411,2815,1753,1174
Puerto Rico,24,37,96,239,557,1730,2315,5002
Romania,3,15,43,128,455,1399,2190,5767
Russian Federation,34,47,115,267,766,1787,2341,4643
Scotland,29,62,146,352,577,1995,2493,4346
Serbia,44,70,152,352,1031,2292,2322,3737
Singapore,21,41,176,493,463,2626,3139,3041
Slovakia,539,370,634,998,2676,1409,1334,2040
Slovenia,66,72,133,246,561,2139,2656,4127
South Africa,9,16,54,158,468,1521,2246,5528
South Korea,51,71,202,452,584,3093,3011,2536
Spain,215,241,396,839,1238,2586,2095,2390
Sweden,142,139,238,426,1505,2951,2326,2273
Switzerland,339,342,675,1122,1754,2024,1648,2096
Thailand,55,66,184,486,534,1647,2089,4939
Turkey,34,52,151,391,991,2255,2462,3664
Ukraine,31,51,185,513,1614,2367,2352,2887
United States,445,360,655,1048,1019,2301,1918,2254
Uruguay,64,100,263,562,935,2400,2452,3224
Venezuela,8,23,82,249,454,1928,2578,4678
Wales,54,80,150,318,1492,2154,2251,3501
